#calName, ra, dec, zCal
J0842-6053, 130.610668792, -60.8973344722, -999
J0845+0439, 131.3214321, 4.663154, 0.467
J0845-5458, 131.260342571, -54.9690402694, -999
J0846-2607, 131.735903275, -26.130739075, -999
J0849-3541, 132.440097867, -35.6836886639, -999
J0851-5228, 132.982701667, -52.4702172917, -999
J0852+2833, 133.021539875, 28.5665918194, 1.0
J0853+0654, 133.4507917, 6.9131212, 0.223
J0854+2006, 133.703645833, 20.1085113889, 0.306
J0901-0037, 135.357667875, -0.617532388889, 1.908
J0904-5735, 136.221580012, -57.5849395611, 0.695
J0908+1609, 137.2330223, 16.1652122, 0.652
J0909+0121, 137.292048329, 1.35989383889, 1.024
J0909-1248, 137.375250704, -12.8040319556, -999
J0914+0245, 138.65797265, 2.76645736389, 0.427
J0916+3854, 139.2037691, 38.9078184, 1.266
J0918-0628, 139.666471383, -6.47472283611, -999
J0919-5340, 139.933496362, -53.6684573084, 0.6
J0922-0529, 140.598636908, -5.48532866944, 0.974
J0922-3959, 140.693409417, -39.9930745278, 0.591
J0927+3902, 141.762558075, 39.0391255111, 0.696
J0927-2034, 141.965934654, -20.5808979083, 0.348
J0929-3801, 142.489616404, -38.0300475889, -999
J0930+0034, 142.7177231, 0.5830392, 1.769
J0931+1414, 142.7722602, 14.2379219, 1.1
J0933-1139, 143.393556042, -11.65707655, -999
J0940+2603, 145.0613449, 26.0583184, 0.726291
J0940-6107, 145.197329517, -61.1245499111, -999
J0941-1335, 145.260623, -13.597496, 0.551
J0942-0759, 145.589422358, -7.99811228611, -999
J0943-0819, 145.903935, -8.325226, 0.228
J0946+1017, 146.6461247, 10.2850372, 1.006
J0948+0022, 147.2388337, 0.3737665, 0.585
J0954+1743, 148.7367651, 17.7253395, 1.475
J0956+2515, 149.207814079, 25.2544582889, 0.707
J0957-1350, 149.325762842, -13.8336602611, 1.0
J1000+0005, 150.07363745, 0.0899160166666, 0.905
J1001+2911, 150.2925235, 29.1937601, 0.558
J1002+1216, 150.7201883, 12.270719, 0.861
J1006-5018, 151.558372133, -50.3037418528, -999
J1007+1356, 151.9229087, 13.9415558, 2.592
J1007-0207, 151.768124588, -2.119699575, 1.215
J1008+0029, 152.047653304, 0.499987816667, 0.0979
J1008+0621, 152.003400654, 6.35589334444, 1.72
J1010-0200, 152.715277837, -2.00543739722, 0.889
J1011-0423, 152.875999625, -4.39102983333, 1.588
J1012+0630, 153.05562, 6.51589, 0.727
J1012+2312, 153.068290583, 23.2040583333, 0.748
J1014+2301, 153.6961061, 23.0212697, 0.566
J1018-3123, 154.619806233, -31.3982915667, 0.794
J1019-2708, 154.785345754, -27.14879615, -999
J1019-6047, 154.972927025, -60.7967608472, -999
J1024+1912, 156.1867067, 19.205671, 0.828
J1024-3234, 156.001766, 32.571127, 2.0
J1025+1253, 156.4845224, 12.8969506, 0.663
J1028-0236, 157.141842954, -2.61659094167, 0.476
J1032-5917, 158.177186317, -59.2991671972, -999
J1036-3744, 159.222664983, -37.7375182944, 1.821
J1037-2934, 159.317, -29.5674480556, 0.312
J1038+0512, 159.694916162, 5.20807958333, 0.473
J1038-2151, 159.674291262, -21.8519731389, 0.585
J1038-4325, 159.561235562, -43.4294127583, 1.356
J1038-5311, 159.669404937, -53.1953528028, -999
J1039-1541, 159.777937929, -15.6851922833, 0.525
J1041+0610, 160.321510408, 6.17136770556, 0.458
J1041-6431, 160.321855167, -64.5172330195, -999
J1042-4143, 160.684998492, -41.723818975, 0.431
J1044+0655, 161.232963504, 6.92729513889, 0.69
J1045+1735, 161.3098324, 17.5966899, 0.921
J1047-6217, 161.928967912, -62.2873982361, -999
J1048+0055, 162.032269, 0.9287452, 0.642
J1048-1909, 162.027585854, -19.1599241028, 0.595
J1049-6003, 162.394003, -60.054912, -999
J1051+2027, 162.755726087, 20.45554725, 1.0
J1051-3138, 162.769906454, -31.6373076889, 1.0
J1058+0133, 164.623355033, 1.56633990833, 0.888
J1058-8003, 164.6804573, -80.0650443833, 0.581
J1059-1134, 164.801776762, -11.5729943639, -999
J1101-6056, 165.493720717, -60.9473026139, -999
J1101-6325, 165.47657645, -63.4229432167, -999
J1102+2757, 165.5595352, 27.9524138, 2.0
J1102-4404, 165.520150633, -44.0730111639, 0.763
J1103+1158, 165.7647077, 11.9712845, 0.912
J1103+3014, 165.8054246, 30.245195, 0.384
J1103-3251, 165.8813601, -32.8546371, 0.356
J1104-2431, 166.192401867, -24.5238334639, 1.666
J1107-3043, 166.933932683, -30.72640195, 0.74
J1107-4449, 166.786225542, -44.8187828889, 1.598
J1107-6820, 166.802896271, -68.3474242833, 0.588
J1108+0811, 167.156245, 8.18377333333, 1.123
J1112+3446, 168.1615381, 34.7775304, 1.954
J1112-5703, 168.030290208, -57.0610401667, 0.4
J1116+0829, 169.041555758, 8.48945353889, 0.486
J1118+1234, 169.738755983, 12.5782550056, 2.037
J1120-1243, 170.050335675, -12.7271745444, 1.3
J1122+1805, 170.6237979, 18.0906509, 1.04
J1124+2336, 171.0112745, 23.6127418056, 1.549
J1125+2005, 171.4947582, 20.0984271, 0.132345
J1126-3828, 171.683888842, -38.4789028806, -999
J1127-1857, 171.768301871, -18.9548449528, 1.049
J1130+0846, 172.649798, 8.7786409, 1.0
J1130+3031, 172.6767882, 30.5264966, 0.737
J1130-1449, 172.52938575, -14.8242745, 1.18906
J1131-0500, 172.877153138, -5.00546039167, 0.266
J1131-5818, 172.930367, -58.314845, -999
J1132-5606, 173.068392554, -56.1124255472, -999
J1133+0015, 173.2626251, 0.2636057, 1.0
J1133+0040, 173.3335658, 0.6813437, 1.633
J1135-0428, 173.992645712, -4.47441307778, 0.2731
J1136-0330, 174.102403879, -3.5081935, 1.648
J1136-6827, 174.008739117, -68.4516163778, -999
J1136-7415, 174.040249171, -74.2625762278, -999
J1139-1350, 174.794594146, -13.8454551556, 0.556
J1145+0455, 176.3388132, 4.9240802, 1.343
J1145-6954, 176.473433996, -69.9004993639, 0.244
J1146-2447, 176.5337638, -24.7924712389, 1.94
J1146-2859, 176.609119092, -28.9884735389, 0.45
J1147-0724, 176.964808458, -7.41142810833, 1.342
J1147-3812, 176.755711271, -38.2030620917, 1.048
J1147-6753, 176.889162537, -67.8949352889, 0.21
J1148+1840, 177.157402733, 18.6691577333, 1.0
J1150+2417, 177.5800507, 24.2982876, 0.2
J1150-0023, 177.682794788, -0.398390372222, 1.851
J1152-0841, 178.071706296, -8.68425385556, 2.37
J1155-5730, 178.849540092, -57.5133716778, -999
J1155-8101, 178.942083167, -81.021723, 1.395
J1157+1638, 179.3951511, 16.6499028, 1.061
J1159+2914, 179.882641292, 29.2455074722, 0.725
J1159-0940, 179.8029656, -9.68112458889, -999
J1159-2142, 179.839302263, -21.7124757695, 0.617
J1159-2228, 179.796947, -22.476917, 0.565
J1208-7809, -177.923520708, -78.163504, -999
J1209-2406, -177.739811958, -24.1057664945, 1.299
J1215+1654, -176.23342025, 16.9105435667, 1.132
J1215-1731, -176.055200996, -17.5292786167, 0.669
J1216-1033, -175.898322625, -10.5543385833, 0.636
J1217+3007, -175.5329918, 30.1168433, 0.13
J1218-0119, -175.354459062, -1.33176172778, 0.415
J1220+0203, -174.950480925, 2.06172923056, 0.24
J1220-5604, -174.8901863, -56.0784913861, -999
J1221+2813, -174.617958, 28.2329167, 0.102
J1222+0413, -174.406043242, 4.22104890556, 0.965
J1224+0330, -173.7815753, 3.5139703, 0.956
J1224+2122, -173.77309, 21.3795524111, 0.434
J1225+1253, -173.734402917, 12.8869830556, 0.003
J1227-4436, -173.138820592, -44.6106483167, 0.11
J1229+0203, -172.722083333, 2.05238833333, 0.061
J1229-6003, -172.637945875, -60.0602832222, -999
J1230+1223, -172.294070833, 12.3911233333, 0.004
J1230+2518, -172.441294383, 25.3019822944, 0.135
J1232-0224, -171.999933292, -2.40133196111, 1.043
J1238+0723, -170.489809842, 7.38939388889, 1.172
J1239+0730, -170.147548583, 7.50477480556, 0.4
J1239-1023, -170.070577204, -10.3913035222, 0.751
J1241+1649, -169.51287, 16.81987, 0.385
J1242+0941, -169.340476175, 9.68442166111, 1.329
J1243+1622, -169.009794971, 16.381498025, 0.555
J1245-1616, -168.52607385, -16.279362525, 0.2
J1246-0730, -168.482366233, -7.51293741667, 1.286
J1246-2547, -168.304991521, -25.7970247028, 0.634
J1248-0632, -167.904268221, -6.53606063056, 0.762
J1248-4559, -167.881270208, -45.9964388611, 1.02
J1252-6737, -166.819952025, -67.6274297972, -999
J1254+1141, -166.3406016, 11.6849709, 0.872
J1254-4424, -166.2603625, -44.4157230417, 0.041
J1254-6111, -166.3059305, -61.1930470556, -999
J1256-0547, -165.953470833, -5.7893125, 0.536
J1257-3155, -165.503913225, -31.9213476861, 1.924
J1258-1800, -165.34040955, -18.0008679111, 1.956
J1258-2219, -165.273005083, -22.3253126111, 1.304
J1259-2310, -165.214741537, -23.1774039694, 0.923
J1303+2433, -164.23659535, 24.5654805417, 0.993
J1303-5540, -164.0449334, -55.675446975, -999
J1305-1033, -163.612437329, -10.5553967028, 0.2784
J1305-2850, -163.714714508, -28.8450081194, -999
J1305-3655, 196.303125, -36.929259, -999
J1307-5019, -163.153426183, -50.3220795583, -999
